S No,Customer Enquiry Description,GGPL Quote Description (Ground Truth),TYPE OF PRODUCT,NON STANDARD
68,"NPS 2, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( SERIES A )LOW STRESS",SPW,
69,"NPS 2, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
70,"NPS 3, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 3"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
71,"NPS 3, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 3"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
72,"NPS 4, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 4"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
73,"NPS 4, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 4"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
74,"NPS 6, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 6"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
75,"NPS 6, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 6"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
76,"NPS 8, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 8"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
77,"NPS 8, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 8"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
78,"NPS 10, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges, NACE MR 0175/ ISO 15156, Lethal","SIZE : 10"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
79,"NPS 14, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 14"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
80,"NPS 1, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges, NACE MR 0175/ ISO 15156, Lethal","SIZE : 1"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
81,"NPS 2, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
82,"NPS 6, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 6"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
83,"NPS 8, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 8"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
84,"NPS 1.5, Gasket Spiral Wound, Incoloy 825 with Flexible Inhibited Graphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 Flanges, NACE MR 0175/ ISO 15156, Lethal","SIZE : 1.5"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
85,"NPS 2, Gasket Spiral Wound, Incoloy 825 with Flexible InhibitedGraphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 forB16.5 Flanges","SIZE : 2"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
86,"NPS 2, Gasket Spiral Wound, Incoloy 825 with Flexible InhibitedGraphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 forB16.5 Flanges","SIZE : 2"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
87,"NPS 3, Gasket Spiral Wound, Incoloy 825 with Flexible InhibitedGraphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 forB16.5 Flanges","SIZE : 3"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
88,"NPS 4, Gasket Spiral Wound, Incoloy 825 with Flexible InhibitedGraphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 forB16.5 Flanges","SIZE : 4"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
89,"NPS 4, Gasket Spiral Wound, Incoloy 825 with Flexible InhibitedGraphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 forB16.5 Flanges","SIZE : 4"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
90,"NPS 6, Gasket Spiral Wound, Incoloy 825 with Flexible InhibitedGraphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 forB16.5 Flanges","SIZE : 6"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
92,"NPS 1.5, Gasket Spiral Wound, Incoloy 825 with Flexible InhibitedGraphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 Flanges, NACE MR 0175/ ISO 15156, Lethal","SIZE : 1.5"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
93,"NPS 2, Gasket Spiral Wound, Incoloy 825 with Flexible InhibitedGraphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 forB16.5 Flanges","SIZE : 2"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
94,"NPS 4, Gasket Spiral Wound, Incoloy 825 with Flexible InhibitedGraphite filler, Incoloy 825 inner & outer ring, Cl.150 as per ASME B16.20 forB16.5 Flanges","SIZE : 4"" X 150# X 4.5MM THK ,INCOLOY 825 SPIRAL WOUND GASKET WITH FLEXIBLE INHIBITED GRAPHITE FILLER + INCOLOY 825 INNER RING & INCOLY 825 OUTER RING ASME B16.20",SPW,
102,"NPS 1, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, as per ASME B16.20 for B16.5flange","SIZE : 1"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
103,"NPS 1.5, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outerring, as per ASME B16.20 for B16.5flange","SIZE : 1.5"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
104,"NPS 1.5, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, as per ASME B16.20 for B16.5flange","SIZE : 1.5"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
105,"NPS 2, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outerring, as per ASME B16.20 for B16.5flange","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
106,"NPS 2, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, as per ASME B16.20 for B16.5 flange","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
107,"NPS 2, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, as per ASME B16.20 for B16.5flange","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
108,"NPS 3, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outerring, as per ASME B16.20 for B16.5flange","SIZE : 3"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
109,"NPS 3, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, as per ASME B16.20 for B16.5flange","SIZE : 3"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
110,"NPS 4, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, as per ASME B16.20 for B16.5flange","SIZE : 4"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
111,"NPS 6, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, as per ASME B16.20 for B16.5flange","SIZE : 6"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
112,"NPS 8, Gasket , CL.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, as per ASME B16.20 for B16.5flange","SIZE : 8"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
113,"NPS 1, Gasket, Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges, NACE MR 0175/ ISO 15156, Lethal","SIZE : 1"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
114,"NPS 1.5, Gasket, Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges, NACE MR 0175/ ISO 15156, Lethal","SIZE : 1.5"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
115,"NPS 2, Gasket, Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
116,"NPS 3, Gasket, Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 3"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
117,"NPS 4, Gasket, Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 4"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
118,"NPS 6, Gasket, Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 6"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
119,"NPS 8, Gasket, Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 8"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
120,"NPS 10, Gasket, Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 10"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
